id,game_id,hastily,normally,completely,count,created_at,updated_at
1,873,63720.0,93360.0,134748.0,7,1728556530,1729799010
2,56,90000.0,291360.0,1116000.0,5,1728556530,1728556530
3,2,30200.0,68100.0,111150.0,6,1728556530,1728556530
4,6279,,22320.0,,1,1728556530,1728556530
5,494,26700.0,29820.0,32100.0,2,1728556530,1746130808
6,529,57660.0,78582.0,133500.0,12,1728556530,1758813590
7,6519,,15720.0,,1,1728556530,1728556530
8,570,41850.0,63000.0,114900.0,2,1728556530,1728556530
9,2940,25200.0,38700.0,65700.0,3,1728556530,1728556530
10,73,57860.0,108630.0,174922.0,14,1728556530,1748614382
11,2155,166452.0,213000.0,459360.0,12,1728556530,1728556530
12,1009,54760.0,75828.0,147975.0,11,1728556530,1751011515
13,233,32400.0,50005.0,78000.0,23,1728556530,1758490983
14,338,9450.0,19170.0,31200.0,14,1728556530,1748612033
15,247,14200.0,22958.0,32400.0,14,1728556530,1755907031
16,60,32400.0,,81840.0,4,1728556530,1728876171
17,512,25770.0,45900.0,54000.0,5,1728556530,1728556530
18,5025,,13500.0,19800.0,11,1728556530,1748612033
19,75,65520.0,135876.0,200565.0,6,1728556530,1728556530
20,1352,9000.0,10894.0,25440.0,11,1728556530,1759820189
21,1517,162600.0,189810.0,,2,1728556530,1728556530
22,538,40988.0,52084.0,101751.0,25,1728556530,1752693713
23,427,142800.0,177520.0,274131.0,11,1728556530,1758734545
24,2168,,25260.0,,1,1728556530,1728556530
25,236,25200.0,,28650.0,3,1728556531,1743978366
26,753,154920.0,,,1,1728556531,1728556531
27,7418,,8580.0,,2,1728556531,1728556531
28,472,61200.0,390460.0,728280.0,24,1728556531,1750984590
29,7444,9600.0,27600.0,36000.0,6,1728556531,1728556531
30,78,70380.0,111960.0,179800.0,5,1728556531,1728556531
31,832,,180720.0,,1,1728556531,1728556531
32,6325,,23000.0,45060.0,4,1728556531,1741804300
33,18,25260.0,39300.0,,7,1728556531,1757913858
34,478,,100800.0,180432.0,8,1728556531,1728556531
35,193,,,50580.0,1,1728556531,1728556531
36,6701,,,32820.0,1,1728556531,1728556531
37,1342,31200.0,40148.0,82800.0,9,1728556531,1748612464
38,634,18000.0,180000.0,,1,1728556531,1728556531
39,7513,,41100.0,,1,1728556531,1728556531
40,1987,31500.0,38700.0,,3,1728556531,1728556531
41,6737,32400.0,40005.0,,4,1728556531,1729587888
42,6815,31440.0,,,1,1728556531,1728556531
43,6786,18120.0,,,1,1728556531,1728556531
44,6863,28800.0,36000.0,41880.0,3,1728556531,1729587737
45,6812,21600.0,25200.0,29340.0,3,1728556531,1729587660
46,2282,25320.0,,,1,1728556531,1728556531
47,1944,27600.0,34200.0,,4,1728556531,1739498114
48,1945,24870.0,36000.0,,3,1728556531,1739498413
49,1946,24840.0,43200.0,,2,1728556531,1739498527
50,127,73580.0,92160.0,128674.0,17,1728556531,1756504780
51,16,75860.0,195260.0,368805.0,9,1728556531,1728556531
52,59,60000.0,164250.0,471260.0,11,1728556531,1728556531
53,6342,7200.0,19800.0,,2,1728556531,1728556531
54,1983,21240.0,32512.0,53760.0,11,1728556531,1728740436
55,3160,21600.0,28800.0,72000.0,1,1728556531,1728556531
56,72,13800.0,32610.0,101781.0,29,1728556531,1752996326
57,71,6560.0,14718.0,25218.0,38,1728556531,1758568287
58,6247,14400.0,28350.0,36000.0,4,1728556531,1728556531
59,6250,14400.0,27270.0,62400.0,5,1728556532,1741805043
60,1339,39600.0,48960.0,97800.0,7,1728556532,1754594143
61,1051,8400.0,21012.0,38880.0,12,1728556532,1750849387
62,5969,11700.0,15600.0,25200.0,4,1728556532,1728556532
63,537,34200.0,56655.0,115200.0,7,1728556532,1745581971
64,113,49000.0,77505.0,142800.0,8,1728556532,1759695097
65,1331,8640.0,13048.0,23340.0,22,1728556532,1757914131
66,558,54000.0,81900.0,192320.0,6,1728556532,1728556532
67,7598,7200.0,13980.0,14400.0,2,1728556532,1728556532
68,11,36000.0,97200.0,216000.0,1,1728556532,1728556532
69,1318,39600.0,102680.0,194400.0,9,1728556532,1748613830
70,7516,,42420.0,,1,1728556532,1728556532
71,231,23725.0,43825.0,48696.0,16,1728556532,1755149665
72,7473,,4920.0,,1,1728556532,1728556532
73,7635,,28080.0,51120.0,4,1728556532,1728556532
74,7638,6600.0,,,1,1728556532,1728556532
75,7639,1680.0,,,1,1728556532,1728556532
76,1384,10350.0,20220.0,43830.0,16,1728556532,1758491661
77,2231,,41940.0,,1,1728556532,1728556532
78,2499,,43020.0,,1,1728556532,1728556532
79,5797,,53700.0,46800.0,2,1728556532,1728556532
80,7646,22020.0,,,1,1728556532,1728556532
81,7654,,12120.0,,1,1728556532,1728556532
